Option,CountryOfWork,Company,TypeOfCompany,jobDate1,jobDate2,Duree,Description,skill1,skill2,skill3,skill4,skill5,Allskills,Job Rate,Monthly Salary
ERP-BI,Tunisia,Streamlink,Private (non-MNC),2022-08-21 00:00:00,2022-04-17 00:00:00,126,"The skills are : Power BI , IBM Cognos , Tableau Software , R",Power BI,IBM Cognos,Tableau Software,R, ,"Power BI,IBM Cognos,Tableau Software,R, ",3,1560
Data Science,France,BNP Paribas,Multinational (MNC),2022-04-21 00:00:00,2021-09-01 00:00:00,232,"In my academic journey i ve learned : Analyses Big Data , Deep learning , Statistiques",Deep learning,Statistiques,Analyses Big Data, , ,"Deep learning,Statistiques,Analyses Big Data, , ",1,3247
TWIN,Tunisia,Talan Tunisie,Private (non-MNC),2022-01-19 00:00:00,2020-05-01 00:00:00,628,"you should be competent at : Angular/JS , Développement front-end , CSS , mysql",Développement front-end,CSS,Angular/JS,mysql, ,"Développement front-end,CSS,Angular/JS,mysql, ",2,2506
GL,Tunisia,Trimble,Multinational (MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we are looking for person with this skills  : PL/SQL , MongoDB , .NET framework , NoSQL , Framework Spring",.NET framework,PL/SQL,NoSQL,MongoDB,Framework Spring,".NET framework,PL/SQL,NoSQL,MongoDB,Framework Spring",3,1828
GL,Tunisia,ALEF MEDIA GROUPE,Private (non-MNC),2022-03-20 00:00:00,2022-04-17 00:00:00,28,"we are looking for person with this skills  : jQuery , AJAX , MongoDB , UML , Maven",AJAX,jQuery,UML,Maven,MongoDB,"AJAX,jQuery,UML,Maven,MongoDB",5,970
ERP-BI,Tunisia,Délice Holding,Multinational (MNC),2022-08-21 00:00:00,2022-04-17 00:00:00,126,"The skills are : Talend , Analyses Big Data , R , Tableau Software , Power BI",Power BI,Tableau Software,R,Analyses Big Data,Talend,"Power BI,Tableau Software,R,Analyses Big Data,Talend",3,2332
TWIN,Asia,TheCodingMachine,Multinational (MNC),2022-12-21 00:00:00,2022-04-17 00:00:00,248,"you should be competent at : mysql , Angular/JS , J2EE Web Services , HTML , PHP",HTML,PHP,Angular/JS,mysql,J2EE Web Services,"HTML,PHP,Angular/JS,mysql,J2EE Web Services",3,1959
SIM,Tunisia,TakiAcademy,Private (non-MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"In my academic journey i ve learned : Arduino , Altuim , Maple , stm32CubeMX",Arduino,Maple,Altuim,stm32CubeMX, ,"Arduino,Maple,Altuim,stm32CubeMX, ",5,3394
SIM,Other,SQUIKIT,Private (non-MNC),2022-08-20 00:00:00,2022-04-17 00:00:00,125,"The skills are : stm32CubeMX , C ++ , Altuim",C ++,Altuim,stm32CubeMX, , ,"C ++,Altuim,stm32CubeMX, , ","4,5",1479
GL,Germany,Coriolis Service,Private (non-MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"we need : AJAX , Java Enterprise Edition , UML , Maven",Java Enterprise Edition,AJAX,UML,Maven, ,"Java Enterprise Edition,AJAX,UML,Maven, ","4,5",1186
GL,Other,NEOSYS,Other,2022-04-21 00:00:00,2022-04-17 00:00:00,4,"we need : MongoDB , Java Enterprise Edition , UML , PL/SQL",Java Enterprise Edition,UML,PL/SQL,MongoDB, ,"Java Enterprise Edition,UML,PL/SQL,MongoDB, ",2,1485
SLEAM,Other,Firnas Engineering,Multinational (MNC),2022-08-21 00:00:00,2022-04-17 00:00:00,126,"The top skills in demand  : DK Android , PHP , Express.js",DK Android,PHP,Express.js, , ,"DK Android,PHP,Express.js, , ",1,2016
TWIN,Tunisia,NeoXam,Other,2022-07-20 00:00:00,2022-04-17 00:00:00,94,"we need : PHP , CSS , Node.js",CSS,Node.js,PHP, , ,"CSS,Node.js,PHP, , ",5,1999
Cloud Computing,France,ACENSI NORD,Multinational (MNC),2022-02-21 00:00:00,2022-04-17 00:00:00,55,"In my academic journey i ve learned : Développement de logiciel , Routeurs Cisco , Virtualisation",Routeurs Cisco,Développement de logiciel,Virtualisation, , ,"Routeurs Cisco,Développement de logiciel,Virtualisation, , ",5,3404
Cloud Computing,Tunisia,Cloud Sylla,Other,2022-05-21 00:00:00,2022-04-17 00:00:00,34,"In my academic journey i ve learned : DevOps , Automatisation des tests , Routeurs Cisco",DevOps,Routeurs Cisco,Automatisation des tests, , ,"DevOps,Routeurs Cisco,Automatisation des tests, , ",3,889
NIDS,Other,Groupe SFM,Private (non-MNC),2022-08-21 00:00:00,2021-12-01 00:00:00,263,"The skills are : Test d’intrusion , Fluentd , sécurité des systèmes dinformation , Linux",sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ,"sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ",3,930
