description,Degree,School,School2,Master_A_Etranger,Double_Diplome,Certificats,Job1,Company_job1,Job2,Company_job2,Job3,Company_job3,Company_job4,Stage1,Stage2,Stage3,Stage4,Stage5,Skills,Specialité,Entreprises,Entreprise_Ds,EntrepriseSpec
"ingénieur en Génie Informatique , passionné par les nouvelles technologies, Je suis toujours à la recherche de nouvelles opportunités pour affiner mes compétences professionnelles. Toujours aller au bout de mes objectifs et à supporter toutes les discutés et les labeurs pour arriver où je veux.",Ingénieure en informatique Génie logiciel,Esprit,isiKef (institut superieur d'informatique kef),vide,0.0,"Certification MERCICOREP (Organisation nationale culture financière)   /  Certification Compétence «GL,Vb.net, Sybase ,UML2.0»",Software Development Engineer,Coriolis Service,Développeur Springboot / Angular8,Technocité,Développeur de logiciels .Net,DATADO Consulting,,TechnoCité,ONT,Tunisie Télécom,vide,vide,"spring ,  angular8  , J2EE, MySql ,JavaScript, SpringBoot ,Api Rest Hibernate",Génie Logiciel,"Coriolis Service,Technocité,DATADO Consulting,vide",coriolisservicetechnocitetechnociteont,CoriolisServiceTechnocite
"Infos
- I am a Enterprise systems engineering student ",Ingénieur en informatique,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,"JavaScript, J2EE ,Angular ,  PL/SQL ,  SQL ,  .Net  , Developpement Android ,  XML ,  NoSql ,SOA ",Génie Logiciel,"vide,vide,vide,vide",,vide
"Grâce à mon insistance à obtenir le diplôme d'ingénieur en informatique et à une formation variée dans le domaine de mathématique, je peux vous faire part de ma maîtrise en termes d'analyse,gestion de projet et de relation professionnel. Passionné par mon domaine, je sais mettre mon combativité au développement et possède une excellente connaissance du monde des analyses.
",vide,Esprit,Faculté des Sciences Mathématiques Physiques et Naturelles de Tunis,vide,0.0,vide,vide,,vide,,vide,,,Creative Solutions,HS Consulting,DRÄXLMAIER Group,vide,vide,"Spring, angular8 ,J2EE ,  JSP ,  JUnit Servlets ,MySql , PHP ,  ServiceWeb , Soap , Javascript , Node.js , Symfony , Hibernate , EJB",Génie Logiciel,"vide,vide,vide,vide",creativesolutionshsconsulting,vide
"Experienced and Self motivated IOS & Android Engineer 
Graduated from ESPRIT as a Mobile Information System Engineer",iOS & Android Engineer,Esprit,vide,vide,0.0,vide,iOS & Android Engineer,Altiad,Professional Freelancer,Self-employed,vide,,,SWIB INFO,,vide,vide,vide,"developpement Web ,developpement mobile ,Unity ,  Symfony , Swift Android ,  IOS development , SQLite , JavaScript , .Net  , JavaEE , Xcode ",SIM,"Altiad,Self-employed,vide,vide",altiadselfemployedswibinfo,AltiadSelfemployed
"It's not work when you love what you do,

Do what you love !",Salesforce Project Manager,Esprit,vide,vide,0.0,EF Standard English Test,salesforce Data Specialist,Goldstar,Cloud Engineer intern,Keyrus,vide,,,Nomadis,GARCICOM,Keyrus,vide,vide," Unix ,  Ubuntu , GNS3 , MySQL , Centos  , Cassandra",ArcTIC,"Goldstar,Keyrus,vide,vide",goldstarkeyrusnomadisgarcicom,GoldstarKeyrus
vide,Pega System Architect,Esprit,vide,vide,0.0,Pega System Architect,Knowledge Expert,Pega System Architect,VIRTUAL DEVVIRTUAL,,vide,,,Capgemini Engineering,,vide,vide,vide,"JEE , Asp.Net , AngularJS  , JavaScript , Service Web , .Net,Mysql ,PHP ",TWIN,"Pega System Architect,vide,vide,vide",pegasystemarchitectcapgeminiengineering,PegaSystemArchitect
"Intéressé par le domaine pétrolier , maintenance des turbines à gas, maintenance mécanique des chantiers pétroliers, implémentation d'un plan de maintenance pétrolier (Préventive/corrective/ameliorative) (AMDEC...), HSE, API/IHM Siemens, Supervision et suivi des chantiers pétroliers, Réalisation des rapports,...
Apprenant rapide, polyvalent et actif, efficace... ",Étudiant Ingénieur en 5éme année - Électromécanique  - Parcours en Mécatronique,Esprit,vide,vide,0.0,"
SOLIDWORKS Mechanical Design - Associate - CSWA",vide,,vide,,vide,,,ETAP,Société Tunisienne de l'Electricité et du Gaz (STEG),Eni,SERGAZ (ENI GROUP),vide,"Petrole et gaz , Secteur pétrolier , electromecanique , Electronique , Maintenance , QHSE , Manufacture , Testing , Mecanique , Managment , Gestion de projet ,sécurité industrielle , Matlab , SolidWorks",Électromécanique,"vide,vide,vide,vide",etapsocietetunisiennedelelectriciteetdugazsteg,vide
vide,Business Intelligence and ERP engineer,Esprit,vide,vide,0.0,vide,Business intelligence and ERP engineer,KORSGY,Trainee,ODDO BHF,"
Trainee",Levios,,T&T Consulting SAS,,vide,vide,vide,"PowerBi , 
SQL Server Integration Services (SSIS) , JQuery , SAP ABAP ,SSAS, SAP BW , Dynamics nav  , Oracle",ERP-BI,"KORSGY,ODDO BHF,Levios,vide",korsgyoddobhfttconsultingsas,KORSGYODDOBHF
"Passionné par les nouvelles technologies et le monde de l'informatique, j’aimerais poursuivre ma carrière professionnelle dans le domaine des TIC.",Ingénieur,Esprit,Institut Supérieur des Arts Multimédia de la Manouba(ISAMM),vide,0.0,vide,Développeur Full Stack,Observateurs Sans Frontières · Freelance,Conseiller client,Teleperformance,vide,,,TUNISAIR,,vide,vide,vide,"Java ,SQL, JavaScript , 
Java Database Connectivity (JDBC) , JavaEE , .Net , AJAX , JQuery , PL/SQL , NoSQL , MongoDB , HTML5 , Spring ",Génie Logiciel,"Observateurs Sans Frontières · Freelance,Teleperformance,vide,vide",observateurssansfrontieres*freelanceteleperformancetunisair,ObservateursSansFrontieres*FreelanceTeleperformance
"ingénieur informatique possédant une expérience pratique approfondie dans le
développement des solutions web et mobiles .",DÉVELOPPEUR WEB / MOBILE FULL STACK,Esprit,vide,vide,0.0,vide,DÉVELOPPEUR WEB / MOBILE FULL STACK,Machine: Market Access Center and Human Intelligence for Enterprises,vide,,vide,,,Billcom Consulting,Machine: Market Access Center and Human Intelligence for Enterprises,vide,vide,vide,"
Développement Android , Développement web,
Développement iOS , Développement de logiciel , Développement front-end , UI/UX DESIGN , android , Java , React , Redux , Node.js , JavaScript , MySQL , 
SDK Android , PHP , JQuery , yii2 framework , Express.js",SIM,"Machine: Market Access Center and Human Intelligence for Enterprises,vide,vide,vide",machinemarketaccesscenterandhumanintelligenceforenterprisesbillcomconsultingmachinemarketaccesscenterandhumanintelligenceforenterprises,MachineMarketAccessCenterandHumanIntelligenceforEnterprises
